team,opponent,elo,interventions
Mandement,Cervera Juan,1147,1
Mandement,Amann Nicolas,1521,1
Mandement,Girod Dorian,1710,0
Mandement,Chopineaux Frédéric,1142,2
Mandement,Mouillefarine Thibaud,1368,3
Mandement,Karam Salim,1721,8
Mandement,Queva Frédéric,1270,2
Mandement,Tormos Kilian,1823,7
Bulle,Vigh Csaba,1533,5
Bulle,Anthonioz Luca,1592,8
Bulle,Perroud Andy,1508,4
Bulle,Rochat Colin,1301,1
Bulle,Vendé Gaël,1676,6
